land_size_sqm,house_size_sqm,no_of_rooms,no_of_bathrooms,living_room,parking_space,front_garden,swimming_pool,house_age,crime_rate_index,property_value
201,177,3,1,0,1,1,0,10,0.9,165432
196,182,4,3,1,1,0,1,11,1.42,187043
198,182,4,4,1,1,0,1,20,4.12,148658
178,166,2,3,0,1,0,0,5,4.36,123785
183,165,3,1,1,1,0,0,8,0.42,156470
399,377,6,5,1,1,1,1,7,5.53,306596
337,334,5,3,1,0,1,1,14,0.89,283236
110,94,1,2,0,0,0,0,1,3.18,76026
170,159,3,4,1,0,1,0,22,4.84,121398
128,116,1,2,0,0,1,0,1,4.98,105593
220,189,3,1,0,0,0,0,1,1.94,149798
350,330,5,3,1,1,1,1,5,2.77,294321
296,258,4,2,1,1,0,1,2,4.66,240550
209,184,3,3,1,1,0,0,3,3.6,163884
207,187,3,3,1,1,0,0,11,1.7,156310
177,154,3,3,1,1,0,1,10,5.63,160441
291,283,4,3,1,1,0,1,8,4.96,215767
242,211,5,2,1,1,1,1,14,1.1,223955
132,129,1,2,0,0,0,0,5,0.85,99461
277,247,4,5,1,1,1,1,18,1.21,220432
172,164,3,4,1,1,0,0,12,2.04,148221
203,192,4,4,0,1,1,1,12,3.1,181712
181,156,3,1,1,1,0,1,9,1.33,149638
227,207,4,3,0,1,1,1,6,4.43,177378
321,306,5,2,1,1,1,1,20,2.7,264197
484,462,7,5,1,1,1,1,21,2.26,387376
170,148,3,3,1,0,1,0,12,5.68,118435
190,178,2,2,0,1,0,0,16,3.85,145854
302,300,5,4,1,0,1,1,3,3.87,254455
117,115,1,1,0,0,0,0,6,4.98,77871
260,224,4,3,1,1,0,1,7,1.25,221912
271,266,5,2,1,1,1,1,1,3.85,244207
151,135,3,2,0,1,0,1,10,4.86,125534
533,519,7,8,1,1,1,1,8,2.41,423665
103,93,1,1,0,0,0,0,8,3.44,79728
173,168,2,3,1,0,0,1,11,4.4,140451
212,192,3,1,1,0,0,0,11,4.14,156980
228,204,3,4,0,0,1,0,2,3.75,187637
283,269,5,3,0,1,1,1,20,2.63,236224
240,217,3,1,1,0,0,0,5,3.47,162263
239,205,3,4,0,1,1,0,1,5.53,180367
362,340,6,7,1,1,1,1,11,0.63,290303
357,343,5,3,1,1,0,1,15,5.44,305001
177,168,2,2,0,1,0,0,13,5.39,143831
145,143,1,2,1,0,0,0,13,2.13,103222
189,162,3,4,0,1,0,1,1,1.13,187392
126,118,2,2,0,1,0,0,19,3.4,87038
353,350,5,5,1,1,1,1,6,3.74,294390
245,213,5,3,1,1,1,1,4,1.28,226855
297,257,5,5,1,1,1,0,18,2.31,240581
214,183,4,3,0,1,0,0,11,0.16,171338
238,224,4,4,0,1,1,1,8,1.26,220779
178,161,2,2,0,0,0,0,1,2.78,121390
323,282,5,4,1,1,0,1,11,0.63,241221
152,142,2,3,0,0,0,0,11,0.72,106896
149,140,2,3,0,1,0,0,21,0.57,119377
238,205,3,2,0,1,0,1,22,3.06,194009
236,215,4,3,0,1,1,1,20,3.58,205527
256,233,5,5,1,1,1,1,11,3.81,238334
297,294,5,2,1,1,1,1,2,3.49,254727
475,451,7,6,1,1,1,1,17,0.08,369207
132,128,2,2,0,0,0,1,11,1.06,109392
170,150,3,1,0,1,1,0,13,5.24,141169
216,195,3,2,1,1,0,0,15,2.34,163696
526,467,8,6,1,1,1,1,17,0.9,430611
222,221,3,4,1,0,1,0,22,5.54,156379
260,260,4,2,1,1,1,1,6,4.88,233275
241,232,4,5,0,1,1,1,19,3.08,196305
287,282,4,3,1,0,1,1,18,3.89,233007
121,103,2,3,1,1,0,1,1,0.81,115686
143,139,1,1,0,0,0,0,13,2.41,86727
280,245,4,5,1,1,1,1,10,0.72,259502
632,567,8,6,1,1,1,1,13,0.46,527472
115,98,1,2,1,0,0,0,2,2.97,76899
205,175,3,3,1,0,1,0,18,0.97,187897
193,192,4,2,1,1,0,1,19,2.97,183566
231,215,5,3,1,1,1,1,18,5.5,198919
321,314,5,5,1,1,1,1,3,2.87,251935
331,308,5,3,1,1,1,0,8,3.02,261937
427,371,6,5,1,1,1,1,21,4.36,337540
162,145,3,4,0,1,0,0,4,3.66,131810
466,419,6,6,1,1,1,1,8,4.14,390138
206,187,4,3,1,1,1,1,18,5.61,181708
207,189,4,5,0,1,1,1,3,2.76,218009
201,181,3,2,0,1,1,0,3,1.72,158468
383,359,6,5,1,1,1,1,16,3.62,300328
134,131,1,2,1,0,0,0,19,2.85,89398
173,148,2,2,0,0,0,0,17,2.59,103859
155,139,3,1,0,1,0,0,15,4.63,110155
256,234,4,5,1,1,1,1,12,5.43,224335
317,299,6,7,1,1,1,1,16,2.67,253088
240,239,4,5,1,1,1,1,20,4.14,193711
260,235,4,4,1,1,1,1,17,5.63,229133
